filename,dataset,kind,label,label_name,n_components,microplot,replicate,year,illumination,datetime,area,fill_frac,refl0,refl1,refl2,brightness,spectralon0,spectralon1,spectralon2
grain22_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32,10535,0.16589506172839505,0.19252759740603959,0.3278424057968418,0.357724850792645,0.2926982846651755,2277.443171759747,11994.427660695468,20112.63015279241
grain6_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,10076,0.15866717057193247,0.23803287738142218,0.3762405000495517,0.38157504346203275,0.3319494736310022,2271.80677028451,11956.860979978925,20047.72506849315
grain223_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32,4472,0.07042076089695137,0.18722280190832127,0.291785007628031,0.3092727645696977,0.2627601913686833,2277.443171759747,11994.427660695468,20112.63015279241
grain150_R22-scoop-bac17-2_8000_us_2x_2022-08-26T075757_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,2.0,2022,8000,2022-08-26 07:57:57,8048,0.12673217435122197,0.18525485567767525,0.33577129694177443,0.38347255647402023,0.3014995696978233,2270.8025658587985,11973.445732349843,20081.413535300315
grain60_R22-scoop-bac17-2_8000_us_2x_2022-08-26T075757_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,2.0,2022,8000,2022-08-26 07:57:57,10148,0.15980095742000505,0.16531265792122013,0.2858274497513751,0.3146688037240821,0.2552696371322258,2270.8025658587985,11973.445732349843,20081.413535300315
grain226_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,11203,0.17641408415217938,0.13502354671727582,0.2405107810356403,0.2593773376992535,0.21163722181738986,2271.80677028451,11956.860979978925,20047.72506849315
grain177_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31,10859,0.17099710254472159,0.1660637751892287,0.2962478706792205,0.3334462580580985,0.26525263464218257,2276.8664330874603,11956.072544783983,20041.291138040044
grain208_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32,9069,0.14280990173847316,0.20535738097544998,0.32751720005000506,0.34228310818281077,0.2917192297360886,2277.443171759747,11994.427660695468,20112.63015279241
grain48_R22-scoop-bac17-2_8000_us_2x_2022-08-26T075757_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,2.0,2022,8000,2022-08-26 07:57:57,7720,0.12156714537666918,0.15532294969761767,0.27465027775908707,0.3030319928033991,0.2443350734200346,2270.8025658587985,11973.445732349843,20081.413535300315
grain163_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31,10397,0.16372197026958932,0.18389674651498156,0.32914433359273065,0.3668497576585803,0.2932969459220975,2276.8664330874603,11956.072544783983,20041.291138040044
grain41_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32,9746,0.15347064751826656,0.2513960532431213,0.38705542619969013,0.4040767798224063,0.34750941975507255,2277.443171759747,11994.427660695468,20112.63015279241
grain151_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,8293,0.13059019904257999,0.17938195467210086,0.30706924545101305,0.3332627434159688,0.2732379811796943,2271.80677028451,11956.860979978925,20047.72506849315
grain12_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,8462,0.1332514487276392,0.1969049817216569,0.31425068230788006,0.3316193992560234,0.2809250210951868,2271.80677028451,11956.860979978925,20047.72506849315
grain201_R22-scoop-bac17-2_8000_us_2x_2022-08-26T075757_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,2.0,2022,8000,2022-08-26 07:57:57,8046,0.12670068027210885,0.1255628730841053,0.24129728986179386,0.2653510314697459,0.21073706480521504,2270.8025658587985,11973.445732349843,20081.413535300315
grain165_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32,8752,0.1378180901990426,0.18454492742802048,0.2974666053105273,0.3186448920122604,0.26688547491693604,2277.443171759747,11994.427660695468,20112.63015279241
grain93_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32,11336,0.17850844041320232,0.24075419320233726,0.42074162458337044,0.4468246358062358,0.3694401511973145,2277.443171759747,11994.427660695468,20112.63015279241
grain77_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,7249,0.11415028974552784,0.19451469353033624,0.3314313111871405,0.36651700538559273,0.29748767003435644,2271.80677028451,11956.860979978925,20047.72506849315
grain98_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32,10400,0.163769211388259,0.18123901624858763,0.30802819865319864,0.3377012143627094,0.2756561430881652,2277.443171759747,11994.427660695468,20112.63015279241
grain124_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,10337,0.16277714789619552,0.2301647003944112,0.3566262830072439,0.38107985323592,0.32262361221252506,2271.80677028451,11956.860979978925,20047.72506849315
grain168_R22-scoop-bac17-2_8000_us_2x_2022-08-26T075757_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,2.0,2022,8000,2022-08-26 07:57:57,9360,0.1473922902494331,0.20958334015130387,0.35209985487763173,0.3730101068399659,0.31156443395630046,2270.8025658587985,11973.445732349843,20081.413535300315
grain66_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31,9483,0.1493291761148904,0.20136204504200925,0.33414316710741915,0.3658409552060683,0.30044872245183224,2276.8664330874603,11956.072544783983,20041.291138040044
grain6_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31,9802,0.1543524817334341,0.2342627808528455,0.367520876804696,0.3794245221219261,0.32706939325982254,2276.8664330874603,11956.072544783983,20041.291138040044
grain85_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31,10818,0.1703514739229025,0.20922820848704843,0.3473369033546511,0.3616577356340499,0.3060742824919165,2276.8664330874603,11956.072544783983,20041.291138040044
grain37_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,10258,0.16153313177122702,0.1654275032807058,0.27641926089479213,0.31486892826878304,0.2522385641480937,2271.80677028451,11956.860979978925,20047.72506849315
grain87_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,8781,0.13827475434618292,0.24018383370663068,0.4180784997605415,0.4427453334007365,0.36700255562263623,2271.80677028451,11956.860979978925,20047.72506849315
grain120_R22-scoop-bac17-2_8000_us_2x_2022-08-26T075757_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,2.0,2022,8000,2022-08-26 07:57:57,10240,0.16124968505920886,0.24771408343969492,0.435418134563642,0.45482459372931017,0.37931893724421567,2270.8025658587985,11973.445732349843,20081.413535300315
grain120_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31,7738,0.12185059208868733,0.18176147912414856,0.30955675476223304,0.32698357983304427,0.27276727123980865,2276.8664330874603,11956.072544783983,20041.291138040044
grain184_R22-scoop-bac17-1_8000_us_2x_2022-08-26T075332_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,1.0,2022,8000,2022-08-26 07:53:32,11510,0.18124842529604435,0.15750028969565003,0.2910156444257224,0.33387250248358147,0.26079614553498465,2277.443171759747,11994.427660695468,20112.63015279241
grain102_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31,8281,0.13040123456790123,0.17200267841585656,0.2872016349253398,0.31744542752650956,0.258883246955902,2276.8664330874603,11956.072544783983,20041.291138040044
grain8_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,11000,0.17321743512219703,0.14090328943551442,0.2506971992653816,0.285033547992337,0.22554467889774435,2271.80677028451,11956.860979978925,20047.72506849315
grain34_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,8999,0.14170760896951373,0.14691443061141438,0.24503274400485237,0.26952889943746394,0.22049202468457688,2271.80677028451,11956.860979978925,20047.72506849315
grain86_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,11074,0.1743827160493827,0.17414610235327116,0.2750158798786213,0.30735796089226175,0.25217331437471807,2271.80677028451,11956.860979978925,20047.72506849315
grain174_R22-scoop-bac17-4_8000_us_2x_2022-08-26T080731_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,4.0,2022,8000,2022-08-26 08:07:31,8119,0.12785021415973796,0.15612216272732454,0.2835936239680532,0.31727933886233833,0.2523317085192387,2276.8664330874603,11956.072544783983,20041.291138040044
grain40_R22-scoop-bac17-3_8000_us_2x_2022-08-26T080240_corr,SCOOP-R2022-bacs_processed,bac,bac17,EL4X-35,1,bac17,3.0,2022,8000,2022-08-26 08:02:40,10234,0.1611552028218695,0.18181658321006372,0.30881894688812817,0.3368386691720476,0.2758247330900798,2271.80677028451,11956.860979978925,20047.72506849315
